actors/characters/alpha/animations/aerialramming.bcskla	0xee3cea8a	0xb6c
actors/characters/alpha/animations/aerialrammingend.bcskla	0x47c57fdd	0xfb4
actors/characters/alpha/animations/aerialrammingimpact.bcskla	0x9175d9e2	0x1b00
actors/characters/alpha/animations/aerialramminginit.bcskla	0xf078ecd4	0x2cac
actors/characters/alpha/animations/airdodge.bcskla	0xdb64de2b	0xc48
actors/characters/alpha/animations/a[i-t]...UNKNOWN	0xf45aa9ff	0x4e60
actors/characters/alpha/animations/attacksynchrofail.bcskla	0x1f31ef84	0x1784
actors/characters/alpha/animations/[a-b]...UNKNOWN	0xf6304fee	0x1784
actors/characters/alpha/animations/bumped.bcskla	0xe263c55a	0x144c
actors/characters/alpha/animations/bumpedback.bcskla	0x33372cf0	0x14f0
actors/characters/alpha/animations/death.bcskla	0x90fc0d6d	0x6120
actors/characters/alpha/animations/electricmine.bcskla	0x52fc6e7d	0x23c4
actors/characters/alpha/animations/grabsamusalpha.bcskla	0x91dcc11	0x2928
actors/characters/alpha/animations/push.bcskla	0xc24e6895	0x1634
actors/characters/alpha/animations/relax.bcskla	0x1ccbf8d4	0x1c54
actors/characters/alpha/animations/spawn11.bcskla	0x13af2c31	0x3a74
actors/characters/alpha/animations/spawn14.bcskla	0x5b4f2255	0x3088
actors/characters/alpha/animations/spawn22.bcskla	0xa4ad1717	0x3650
actors/characters/alpha/animations/spawn23.bcskla	0x68071789	0x29a8
actors/characters/alpha/animations/spawn25.bcskla	0xae681e0e	0x34f8
actors/characters/alpha/animations/spawn27.bcskla	0xec4d1973	0x35cc
actors/characters/alpha/animations/spawn32.bcskla	0xb3d60354	0x2378
actors/characters/alpha/animations/stagger.bcskla	0x9597cd2	0xd50
actors/characters/alpha/animations/tripleaerialramming.bcskla	0x5c51748f	0xb98
actors/characters/alpha/animations/tripleaerialrammingend.bcskla	0x9dcf07f5	0xf54
actors/characters/alpha/animations/tripleaerialrammingimpact.bcskla	0xa018d480	0x1a60
actors/characters/alpha/animations/tripleaerialramminginit.bcskla	0xc5174e56	0x1730
actors/characters/alpha/animations/t[r-u]...UNKNOWN	0xa38306d3	0xf24
actors/characters/alpha/animations/turnrot.bcskla	0x230fc7ab	0x12b0
actors/characters/alpha/animations/unfreeze.bcskla	0xb7ce9c0b	0x20b4
actors/characters/alpha/cameras/death.bccam	0x8a3e32ba	0xaa94
actors/characters/alpha/cameras/deathclose.bccam	0xc4c02ccb	0xa8b4
actors/characters/alpha/cameras/grabsamusalpha.bccam	0xb499d7ca	0xf34
actors/characters/alpha/charclasses/alpha.bmsad	0x20fb1019	0xc3fe
actors/characters/alpha/collisions/alpha.bmscd	0x9799f174	0x184
actors/characters/alpha/[c-f]...UNKNOWN	0x378835e7	0x1fac
actors/characters/alpha/fx/lightningbody.bcptl	0x7e212755	0xa6c
actors/characters/alpha/fx/lightnings.bcptl	0xa473d7e8	0x1060
actors/characters/alpha/fx/trail.bcptl	0x9fc7c6a2	0x600
actors/characters/alpha/fx/waterdrops.bcptl	0x3920dc8f	0x8b8
actors/characters/alpha/fx/waterspawn23.bcptl	0x2be1379b	0x20a8
actors/characters/alpha/models/alpha.bcmdl	0x24dfe0a	0x1d094
actors/characters/alpha/models/fx_ice_core.bcmdl	0x5e17bd81	0x31b0
actors/characters/alpha/[m-s]...UNKNOWN	0xc5d3bd18	0x15689
actors/characters/alpha/[m-s]...UNKNOWN	0x97eb92bf	0x15689
actors/characters/alpha/[m-s]...UNKNOWN	0x7d15aecb	0x5688
actors/characters/alpha/[m-s]...UNKNOWN	0x2f2d816c	0x5688
actors/characters/alpha/[m-s]...UNKNOWN	0xbca83bc4	0x168a
actors/characters/alpha/[m-s]...UNKNOWN	0xb104a99e	0x808d
actors/characters/alpha/scripts/alpha.bmtre	0xbe3943a8	0x284
actors/characters/alpha/scripts/alpha.lc	0x1377b4a7	0x5e0
actors/characters/alphacocooncredits/animations/introgamma.bcskla	0x6370ef49	0xc8
actors/characters/alphacocooncredits/charclasses/alphacocooncredits.bmsad	0xbe00b97b	0x2b7
actors/characters/alphacocooncredits/models/alphacocoon.bcmdl	0x225135bd	0xc6dc
actors/characters/alphacredits/animations/grabsamusalpha.bcskla	0x7474b6dc	0x248
actors/characters/alphacredits/charclasses/alphacredits.bmsad	0x5410500	0x2a4
actors/characters/alphacredits/models/alpha.bcmdl	0xcbd44192	0x1cc40
actors/characters/alpha[c-e]...UNKNOWN	0x4aa9d58f	0x15689
actors/characters/alpha[c-e]...UNKNOWN	0x1891fa28	0x15689
actors/characters/alpha[c-e]...UNKNOWN	0x62e3c617	0x5688
actors/characters/alpha[c-e]...UNKNOWN	0x30dbe9b0	0x5688
actors/characters/alpha[c-e]...UNKNOWN	0xd24c474b	0x168a
actors/characters/alpha[c-e]...UNKNOWN	0x7f80e5d6	0x808d
actors/characters/alphaevolved/charclasses/alphaevolved.bmsad	0xe792c05b	0xc192
actors/characters/alphaevolved/[c-m]...UNKNOWN	0x1df8f8e2	0xe5c
actors/characters/alphaevolved/[c-m]...UNKNOWN	0x9d8ac2bc	0x1648
actors/characters/alphaevolved/models/alphaevolved.bcmdl	0x182fa410	0x1d0a4
actors/characters/alpha[e-n]...UNKNOWN	0x9bf0f253	0x15689
actors/characters/alpha[e-n]...UNKNOWN	0xc9c8ddf4	0x15689
actors/characters/alpha[e-n]...UNKNOWN	0x5df88093	0x168a
actors/characters/alpha[e-n]...UNKNOWN	0xb4adb7cd	0x808d
actors/characters/alphanewborn/charclasses/alphanewborn.bmsad	0x8a7b58f9	0xadb5
actors/characters/alphanewborn/models/alphanewborn.bcmdl	0xdcef38ef	0x1d0a4
actors/characters/a[l-r]...UNKNOWN	0xa5bc7876	0x5689
actors/characters/a[l-r]...UNKNOWN	0xf78457d1	0x5689
actors/characters/a[l-r]...UNKNOWN	0xf9007360	0x168a
